channel,asset_id,canonical_destination,tracked_url,status
linkedin,fit-video-v1,https://www.bloomjoyusa.com/solutions/food-trucks,https://www.bloomjoyusa.com/solutions/food-trucks?utm_source=linkedin&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=fit-video-v1,draft-not-approved
instagram,fit-video-v1,https://www.bloomjoyusa.com/solutions/food-trucks,https://www.bloomjoyusa.com/solutions/food-trucks?utm_source=instagram&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=fit-video-v1,draft-not-approved
facebook,fit-video-v1,https://www.bloomjoyusa.com/solutions/food-trucks,https://www.bloomjoyusa.com/solutions/food-trucks?utm_source=facebook&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=fit-video-v1,draft-not-approved
youtube,fit-video-v1,https://www.bloomjoyusa.com/solutions/food-trucks,https://www.bloomjoyusa.com/solutions/food-trucks?utm_source=youtube&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=fit-video-v1,draft-not-approved
linkedin,setup-carousel-v1,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-mobile-setup-guide,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-mobile-setup-guide?utm_source=linkedin&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=setup-carousel-v1,draft-not-approved
instagram,setup-carousel-v1,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-mobile-setup-guide,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-mobile-setup-guide?utm_source=instagram&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=setup-carousel-v1,draft-not-approved
facebook,setup-carousel-v1,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-mobile-setup-guide,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-mobile-setup-guide?utm_source=facebook&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=setup-carousel-v1,draft-not-approved
youtube,setup-carousel-v1,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-mobile-setup-guide,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-mobile-setup-guide?utm_source=youtube&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=setup-carousel-v1,draft-not-approved
linkedin,dessert-carousel-v1,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-dessert-add-ons,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-dessert-add-ons?utm_source=linkedin&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=dessert-carousel-v1,draft-not-approved
instagram,dessert-carousel-v1,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-dessert-add-ons,https://www.bloomjoyusa.com/resources/business-playbook/food-truck-dessert-add-ons?utm_source=instagram&utm_medium=organic-social&utm_campaign=mobile-operator-launch-2026&utm_content=dessert-carousel-v1,draft-not-approved
